,Image,F1,Jaccard,Recall,Precision
0,images\833.png,0.9024597116200169,0.8222565687789799,0.9366197183098591,0.8707037643207856
1,images\2069.png,0.8434180138568129,0.7292332268370607,0.9712765957446808,0.7453061224489796
2,images\3038.png,0.8753993610223643,0.7784090909090909,0.8535825545171339,0.898360655737705
3,images\1169.png,0.9566666666666667,0.9169329073482428,0.927801724137931,0.9873853211009175
4,images\501.png,0.9440353460972017,0.8940027894002789,0.9440353460972017,0.9440353460972017
5,images\31.png,0.962239004886717,0.9272260273972602,0.9592559787422498,0.9652406417112299
6,images\2242.png,0.9058434399117972,0.8278919790407094,0.9898795180722891,0.8349593495934959
7,images\1014.png,0.9211356466876972,0.8538011695906432,0.8664688427299704,0.9831649831649831
8,images\1322.png,0.9017341040462428,0.8210526315789474,0.8253968253968254,0.9936305732484076
9,images\1779.png,0.9105160026126714,0.8357314148681055,0.9146981627296588,0.9063719115734721
10,images\1217.png,0.9442724458204335,0.8944281524926686,0.9775641025641025,0.9131736526946108
11,images\1956.png,0.956989247311828,0.9175257731958762,0.9357476635514018,0.9792176039119804
12,images\108.png,0.9666745450248169,0.9354986276303752,0.9659896079357582,0.967360454115421
13,images\1258.png,0.9278688524590164,0.8654434250764526,0.9625850340136054,0.8955696202531646
14,images\571.png,0.9553001277139208,0.9144254278728606,0.9303482587064676,0.9816272965879265
15,images\1888.png,0.3076923076923077,0.18181818181818182,0.18181818181818182,1.0
16,images\35.png,0.8692307692307693,0.7687074829931972,0.9186991869918699,0.8248175182481752
17,images\2162.png,0.9481765834932822,0.9014598540145985,0.9739156809220504,0.9237629459148446
18,images\2582.png,0.942925659472422,0.8920145190562614,0.9479267116682739,0.9379770992366412
19,images\1279.png,0.6828528072837633,0.5184331797235023,0.5184331797235023,1.0
20,images\749.png,0.8601168736303871,0.7545658442806793,0.875139353400223,0.8456014362657092
21,images\2122.png,0.026948989412897015,0.013658536585365854,0.017445482866043614,0.05919661733615222
22,images\2928.png,0.8218493395215994,0.6975757575757576,0.7280202403542062,0.9434426229508197
23,images\74.png,0.9650655021834061,0.9324894514767933,0.9899216125419933,0.9414270500532481
24,images\788.png,0.8555792845702083,0.7476090506181479,0.7589391427894862,0.980422147445702
25,images\707.png,0.9730820995962315,0.9475753604193972,0.9691689008042895,0.977027027027027
26,images\1678.png,0.9490874159462056,0.903107861060329,0.9743589743589743,0.9250936329588015
27,images\909.png,0.9235602094240838,0.857976653696498,0.8709677419354839,0.9829123328380386
28,images\218.png,0.8907922912205567,0.803088803088803,0.8739495798319328,0.9082969432314411
29,images\2046.png,0.8764551257979722,0.7800802139037433,0.8371592539454806,0.9196217494089834
30,images\3.png,0.9710789766407119,0.9437837837837838,0.9875565610859729,0.9551422319474836
31,images\1270.png,0.7317073170731707,0.5769230769230769,0.8490566037735849,0.6428571428571429
32,images\573.png,0.7122430741733691,0.553088133240805,0.9925280199252802,0.5554006968641115
33,images\861.png,0.8794998922181505,0.7849172758753367,0.7865818392134182,0.9973111708628697
34,images\2463.png,0.21791044776119403,0.12227805695142378,1.0,0.12227805695142378
35,images\1326.png,0.8324022346368715,0.7129186602870813,0.7321867321867321,0.9644012944983819
36,images\528.png,0.9510835913312693,0.9067296340023613,0.9948186528497409,0.9110320284697508
37,images\461.png,0.7976047904191617,0.6633466135458167,0.9514285714285714,0.6865979381443299
38,images\803.png,0.8138766519823789,0.6861652739090065,0.8588030214991285,0.7734170591313448
39,images\1392.png,0.9431616341030196,0.892436974789916,0.9637023593466425,0.9234782608695652
40,images\298.png,0.9015748031496063,0.8207885304659498,0.8450184501845018,0.9662447257383966
41,images\3005.png,0.8508361204013378,0.740395809080326,0.933920704845815,0.7813267813267813
42,images\1239.png,0.8634361233480177,0.7596899224806202,1.0,0.7596899224806202
43,images\2839.png,0.5276848755109624,0.3584048460373549,0.3611393692777213,0.9793103448275862
44,images\2605.png,0.6734517106972715,0.5076722167809338,0.8845278725824801,0.5437062937062938
45,images\1529.png,0.9067357512953368,0.8293838862559242,0.9980988593155894,0.8306962025316456
46,images\574.png,0.968944099378882,0.9397590361445783,0.9957446808510638,0.9435483870967742
47,images\2574.png,0.9287581699346406,0.8669920683343502,0.9766323024054983,0.8853582554517134
48,images\1702.png,0.861646234676007,0.7569230769230769,1.0,0.7569230769230769
49,images\1732.png,0.9335679718433788,0.8754125412541254,0.9953095684803002,0.8790389395194698
50,images\1266.png,0.863013698630137,0.7590361445783133,0.7682926829268293,0.984375
51,images\1808.png,0.7852004110996916,0.6463620981387479,0.9896373056994818,0.6507666098807495
52,images\1085.png,0.8548199767711963,0.7464503042596349,0.7698744769874477,0.9608355091383812
53,images\653.png,0.972877358490566,0.947187141216992,0.953757225433526,0.9927797833935018
54,images\2791.png,0.5083766608896592,0.34082106893880715,0.3426791277258567,0.9843400447427293
55,images\1187.png,0.9538816295157571,0.9118295371050698,0.9590417310664606,0.9487767584097859
56,images\2744.png,0.8276220145379024,0.7059344552701505,0.8250517598343685,0.8302083333333333
57,images\1023.png,0.8443148688046648,0.7305751765893037,0.7861020629750272,0.9118387909319899
58,images\1667.png,0.9329359165424739,0.8743016759776536,0.978125,0.8917378917378918
