epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.23011673986911774,0.7698833346366882,1e-04,0.35028645396232605,0.649713397026062
1,0.4358307123184204,0.5641694068908691,1e-04,0.5418040752410889,0.45819589495658875
2,0.5876880884170532,0.41231194138526917,1e-04,0.6358985304832458,0.3641014099121094
3,0.6805860996246338,0.319413959980011,1e-04,0.7178828716278076,0.28211724758148193
4,0.7302016615867615,0.2697984278202057,1e-04,0.7351468801498413,0.26485297083854675
5,0.7564802169799805,0.243519589304924,1e-04,0.7564843893051147,0.24351567029953003
6,0.7739080190658569,0.22609193623065948,1e-04,0.7596042156219482,0.24039563536643982
7,0.7932130098342896,0.2067866176366806,1e-04,0.7609429359436035,0.23905719816684723
8,0.7996483445167542,0.20035196840763092,1e-04,0.7783555388450623,0.22164446115493774
9,0.8036147356033325,0.19638505578041077,1e-04,0.7901490330696106,0.2098509669303894
10,0.8107088208198547,0.18929126858711243,1e-04,0.7802361845970154,0.21976368129253387
11,0.814479410648346,0.18552008271217346,1e-04,0.7887369394302368,0.21126292645931244
12,0.8228650689125061,0.17713485658168793,1e-04,0.7942291498184204,0.20577086508274078
13,0.829142153263092,0.1708582639694214,1e-04,0.804308295249939,0.19569191336631775
14,0.8332533836364746,0.16674655675888062,1e-04,0.7997933030128479,0.20020650327205658
15,0.8304865956306458,0.1695137619972229,1e-04,0.8028898239135742,0.1971103996038437
16,0.8308922052383423,0.1691076159477234,1e-04,0.7971387505531311,0.20286113023757935
17,0.8388574123382568,0.16114205121994019,1e-04,0.8036286234855652,0.19637136161327362
18,0.8420495986938477,0.15795060992240906,1e-04,0.8036139607429504,0.19638627767562866
19,0.8539069294929504,0.14609263837337494,5e-05,0.8137471079826355,0.18625277280807495
20,0.8546181321144104,0.1453816443681717,5e-05,0.8112585544586182,0.1887415647506714
21,0.8571197986602783,0.1428804248571396,5e-05,0.8050133585929871,0.19498637318611145
22,0.8586876392364502,0.1413121223449707,5e-05,0.8155043125152588,0.1844959259033203
23,0.8646555542945862,0.13534407317638397,5e-05,0.8201051950454712,0.1798946112394333
24,0.8632494211196899,0.1367507129907608,5e-05,0.820411205291748,0.1795889139175415
25,0.8696165084838867,0.13038383424282074,5e-05,0.8134889602661133,0.18651096522808075
26,0.8703356385231018,0.12966440618038177,5e-05,0.8233089447021484,0.17669068276882172
27,0.8718482851982117,0.12815171480178833,5e-05,0.8175856471061707,0.18241435289382935
28,0.8708335757255554,0.1291665881872177,5e-05,0.8150690197944641,0.18493106961250305
29,0.8725100159645081,0.12748989462852478,5e-05,0.8114867806434631,0.18851326406002045
30,0.8756494522094727,0.12435070425271988,5e-05,0.8205892443656921,0.17941074073314667
31,0.8756653070449829,0.12433502078056335,5e-05,0.8217689394950867,0.17823095619678497
32,0.8830739855766296,0.11692660301923752,2.5e-05,0.8203098773956299,0.17969021201133728
33,0.8826119303703308,0.11738882213830948,2.5e-05,0.8305653929710388,0.16943484544754028
34,0.8834277987480164,0.11657211184501648,2.5e-05,0.8242749571800232,0.17572490870952606
35,0.8847977519035339,0.11520195007324219,2.5e-05,0.8268501162528992,0.17315009236335754
36,0.8853995203971863,0.1146005392074585,2.5e-05,0.824773907661438,0.17522601783275604
37,0.8853638172149658,0.1146361380815506,2.5e-05,0.8303107023239136,0.1696895956993103
38,0.8878133893013,0.11218659579753876,2.5e-05,0.8284873366355896,0.17151272296905518
39,0.8874474167823792,0.11255253851413727,1.25e-05,0.8284127712249756,0.17158710956573486
40,0.8904596567153931,0.10954006761312485,1.25e-05,0.8270719647407532,0.1729280650615692
41,0.8894780278205872,0.11052197962999344,1.25e-05,0.827120304107666,0.1728794425725937
42,0.8930408358573914,0.10695888847112656,1.25e-05,0.8274369239807129,0.17256325483322144
43,0.8904362320899963,0.10956375300884247,1.25e-05,0.82779860496521,0.17220132052898407
44,0.8945510387420654,0.10544894635677338,6.25e-06,0.8281081914901733,0.17189174890518188
45,0.8942373394966125,0.10576220601797104,6.25e-06,0.8283763527870178,0.17162372171878815
46,0.8952172994613647,0.10478264093399048,6.25e-06,0.8279259204864502,0.17207416892051697
47,0.8945713043212891,0.10542876273393631,6.25e-06,0.8277385830879211,0.17226144671440125
48,0.8968952298164368,0.10310528427362442,6.25e-06,0.8281759023666382,0.1718241423368454
49,0.8947022557258606,0.1052972674369812,3.125e-06,0.8285158276557922,0.17148429155349731
50,0.8950062394142151,0.10499349981546402,3.125e-06,0.8289814591407776,0.17101845145225525
51,0.8964678049087524,0.10353241860866547,3.125e-06,0.8291239738464355,0.1708758920431137
52,0.8964840173721313,0.10351526737213135,3.125e-06,0.8303849697113037,0.1696149855852127
53,0.8966764807701111,0.10332350432872772,3.125e-06,0.829041600227356,0.17095813155174255
